ID,geoID,Hub,Sex,Age,Nationality,InterviewLanguage,Education,contractStartDate,contractEndDate,training,operationalLocationCountry,RegionCity,Reports,AvgReports,Latitude,Longitude
53,Asia-Indo05,Asia,Male,33,Afghan,Persian ,Up to High School,18-Apr,19-Dec,Full in-person training,Indonesia,Jakarta,119,12,-6.189429,106.843243
54,Asia-Indo06,Asia,Female,22,Afghan,Persian ,Up to High School,18-Apr,19-Dec,Full in-person training,Indonesia,Jakarta,90,10,-6.189429,106.843243
55,Asia-Ger01,Asia,Male,30,Afghan,Persian ,Up to High School,18-Apr,19-Dec,Full in-person training,Germany,Berlin,45,5,52.50689,13.426095
56,Asia-Ger02,Asia,Male,27,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,Germany,Berlin,40,5,52.50689,13.426095
57,Asia-Ger03,Asia,Male,28,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,Germany,Berlin,45,5,52.50689,13.426095
58,Asia-Ger04,Asia,Male,25,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,Germany,Berlin,45,5,52.50689,13.426095
59,Asia-Gre01,Asia,Male,23,Afghan,Persian ,Up to High School,18-Sep,not contracted for 2019 yet,Full in-person training,Greece,Athens,12,4,37.990288,23.730271
60,Asia-Gre02,Asia,Male,27,Afghan,Persian ,BA and above,18-Sep,not contracted for 2019 yet,Full in-person training,Greece,Athens,15,5,37.990288,23.730271
61,Asia-Gre03,Asia,Female,25,Afghan,Persian ,Up to High School,18-Sep,not contracted for 2019 yet,Full in-person training,Greece,Lesbos,15,5,39.250747,26.285896
62,Asia-Mal01,Asia,Female,22,Myanmar,Rohingya & Burmese,Up to High School,1-Oct-18,19-Dec,Full in-person training,Malaysia,Kuala Lumpur,40,10,3.144672,101.690767
63,Asia-Mal02,Asia,Male,21,Myanmar,Rohingya & Burmese,Up to High School,1-Oct-18,19-Dec,Full in-person training,Malaysia,Kuala Lumpur,40,10,3.144672,101.690767
64,Asia-Mal03,Asia,Female,23,Myanmar,Rohingya & Burmese,Up to High School,1-Oct-18,19-Dec,Full in-person training,Malaysia,Kuala Lumpur,40,10,3.144672,101.690767
65,Asia-Mal04,Asia,Female,32,Myanmar,Rohingya,BA and above,1-Oct-18,19-Dec,Full in-person training,Malaysia,Kuala Lumpur,40,10,3.144672,101.690767
66,Asia-Mal05,Asia,Male,31,Myanmar,Rohingya & Burmese,BA and above,19-Apr,19-Dec,Full in-person training,Malaysia,Ampang,20,10,3.337318,101.249006
67,Asia-Mal06,Asia,Male,38,Myanmar,Bangla,BA and above,19-Apr,19-Dec,Full in-person training,Malaysia,Kuala Lumpur,20,10,3.144672,101.690767
68,Asia-Mal07,Asia,Male,30,Bangladeshi,Bangla,Up to High School,19-Apr,19-Dec,Full in-person training,Malaysia,Kuala Lumpur,20,10,3.144672,101.690767
